Card ID,Card Name,Expansion,Collection No.,Stage (Pokémon)/Type (Energy and Trainer),Rule,Category,Previous stage,HP,Type,Weakness,Resistance (Type),Retreat,Move Name,Cost,Damage,Effect Explanation,Stage (Pokémon)/Type (Energy and Trainer)_encoded,Category_encoded,Type_encoded,Weakness_encoded,strat_vector_0,strat_vector_1,strat_vector_2,strat_vector_3,strat_vector_4,strat_vector_5,strat_vector_6,strat_vector_7,strat_vector_8,strat_vector_9,strat_vector_10,strat_vector_11,strat_vector_12,strat_vector_13,strat_vector_14,strat_vector_15,strat_vector_16,strat_vector_17,strat_vector_18,strat_vector_19,strat_vector_20,strat_vector_21,strat_vector_22,strat_vector_23,strat_vector_24,strat_vector_25,strat_vector_26,strat_vector_27,strat_vector_28,strat_vector_29,strat_vector_30,strat_vector_31,strat_vector_32,strat_vector_33,strat_vector_34,strat_vector_35,strat_vector_36,strat_vector_37,strat_vector_38,strat_vector_39,strat_vector_40,strat_vector_41,strat_vector_42,strat_vector_43,strat_vector_44,strat_vector_45,strat_vector_46,strat_vector_47,strat_vector_48,strat_vector_49,strat_vector_50,strat_vector_51,strat_vector_52,strat_vector_53,strat_vector_54,strat_vector_55,strat_vector_56,strat_vector_57,strat_vector_58,strat_vector_59,strat_vector_60,strat_vector_61,strat_vector_62,strat_vector_63,strat_vector_64,strat_vector_65,strat_vector_66,strat_vector_67,strat_vector_68,strat_vector_69,strat_vector_70,strat_vector_71,strat_vector_72,strat_vector_73,strat_vector_74,strat_vector_75,strat_vector_76,strat_vector_77,strat_vector_78,strat_vector_79,strat_vector_80,strat_vector_81,strat_vector_82,strat_vector_83,strat_vector_84,strat_vector_85,strat_vector_86,strat_vector_87,strat_vector_88,strat_vector_89,strat_vector_90,strat_vector_91,strat_vector_92,strat_vector_93,strat_vector_94,strat_vector_95,strat_vector_96,strat_vector_97,strat_vector_98,strat_vector_99,strat_vector_100,strat_vector_101,strat_vector_102,strat_vector_103,strat_vector_104,strat_vector_105,strat_vector_106,strat_vector_107,strat_vector_108,strat_vector_109,strat_vector_110,strat_vector_111,strat_vector_112,strat_vector_113,strat_vector_114,strat_vector_115,strat_vector_116,strat_vector_117,strat_vector_118,strat_vector_119,strat_vector_120,strat_vector_121,strat_vector_122,strat_vector_123,strat_vector_124,strat_vector_125,strat_vector_126,strat_vector_127
13,Enriching Energy,SSP,191,Special Energy,ACE SPEC,None/Missing,,0.0,{C},None/Missing,,,,,0.0,"As long as this card is attached to a Pokémon, it provides {C} Energy.

When you attach this card from your hand to a Pokémon, draw 4 cards.",4,3,3,0,-10.641499,-14.024774,0.32580805,-8.830312,3.0669909,1.5977823,1.5944101,-3.602848,8.853143,-7.943331,-6.0163007,-1.2296063,-1.2657771,2.0652668,-0.56279373,-3.2014942,0.015298379,3.5061154,10.421253,-2.1585531,-5.248775,-16.091068,-8.2168045,-4.300481,2.5221317,-3.3947768,-4.4966335,7.6028404,-8.03715,2.9945314,1.1555463,-5.964934,17.006994,8.557792,3.4547956,-17.898973,3.8515131,-2.7600377,-9.853283,-5.92848,-4.518018,2.2715158,-3.0267797,-7.4167457,-2.2578273,-1.3710219,-11.575201,-13.950959,11.724221,-1.3546247,1.2880594,15.023954,5.087723,7.346299,1.1135324,-7.435927,-9.294294,1.733201,-2.602625,5.7027893,-17.531506,-0.367283,18.847523,8.924623,-0.7927483,-7.973694,-0.31212568,1.3332375,-12.824809,-2.1868637,-3.6522377,16.357964,-6.152761,4.399329,-0.05859258,-2.764369,6.80406,3.5788205,3.8078203,13.918044,9.959335,2.9389977,-10.503953,-3.9435244,6.9030843,-6.445963,-1.6460687,11.945686,-6.1853757,2.0633233,-5.036987,-4.3975534,-8.317835,3.8903246,2.6643496,-8.98503,-6.3691974,-7.444294,-14.054816,-10.056254,-9.621774,4.33865,-0.6633069,-9.527539,8.5243,8.428162,-10.88966,-8.504098,-0.46449962,-7.6147513,-3.2514637,3.6675813,6.7059712,11.621755,-4.849904,1.9427668,0.61957616,-6.5566587,-12.4922905,-5.1947603,3.7159843,-17.811323,3.778016,2.5060842,-4.8225503,-7.6326303,8.968988,6.9177737
177,Exeggcute,SSP,1,Basic Pokémon,,None/Missing,,30.0,{G},{R},,1.0,Precocious Evolution,●,0.0,"If you go first, you can use this attack during your first turn. Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.",1,3,7,7,0.14966144,-5.6547837,1.7564707,-1.4772964,0.65526396,5.1908298,6.060517,7.916122,-4.7567697,6.7288814,1.3211613,-10.894059,-3.8781965,-6.8608713,-2.310742,1.1468457,13.514319,-3.562109,-3.432856,-1.6640059,-0.2524077,-2.4834154,4.7714186,-14.9989805,7.301915,7.7798023,-1.6639742,2.150969,-9.380683,-6.268447,-5.848812,2.3893378,5.558183,2.2793036,-0.3204854,28.433567,-4.77483,-4.4600024,16.89124,-1.6582744,0.62522715,-1.0152655,-1.699497,15.526016,-0.55657136,-3.7003152,-15.190846,15.324683,-3.0912588,2.4362588,8.8427105,6.508473,-12.045484,4.460249,-0.9515991,-11.064847,6.286925,-3.6428494,-6.4065285,-3.7809882,11.2965,3.8767037,9.065083,3.1989398,10.069397,-0.53943133,4.489388,-2.5236228,1.2118362,-2.23625,-2.335333,-1.9511127,0.81692916,1.376424,5.255672,11.824944,4.1259427,5.71037,-3.9724777,-5.738595,4.6758275,10.0735655,-8.126248,-6.6910353,7.3807936,-9.7756,6.200158,-10.066685,16.615559,5.5471735,-0.055743627,-19.56806,28.210133,4.453319,4.7838316,0.27657905,6.128981,-6.8833017,-2.7478824,-6.108911,-2.916027,7.4898233,1.839866,-5.4485207,3.5915892,-4.6156583,-1.086434,-2.1449854,-8.848339,-11.423028,7.5710144,3.5904765,0.40125003,-2.6524177,-9.000415,0.3145383,3.0904887,-7.428319,-13.374788,-2.31373,8.242437,-4.446388,4.054921,-5.686798,-4.6888647,1.3801068,1.1022844,-3.686706
718,Centiskorch,MEG,30,Stage 1 Pokémon,,None/Missing,Sizzlipede,140.0,{R},{W},,3.0,Heat Crawler,{R}{R}●●,140.0,,6,3,11,8,-1.3759589,0.6161279,-1.4562986,3.0669184,-0.45594797,-5.5024633,1.3680568,0.4748951,-4.85482,0.14505936,2.2774262,-0.23072843,0.3431658,1.1930455,4.25563,-0.15372227,2.8467195,-0.99728346,-2.7471836,-1.4963557,-0.54996234,-1.2573247,-0.75671494,-2.2865942,3.097346,-0.52413505,-0.7503207,1.8198404,2.3629029,-1.0723027,0.018817276,-0.8378347,1.4319068,2.463011,-6.0146046,11.292765,0.65577096,4.6321673,3.6306574,0.82192,0.42181882,-2.1553185,-0.70904243,3.7374163,0.5789729,5.002913,-3.0280042,2.8598568,-2.749522,-0.09350577,7.793286,-3.435288,-4.2417197,1.5388377,0.39722297,4.7107997,0.13536334,-0.9285856,1.0872455,1.2030069,4.1517134,-0.19318299,1.1262798,0.08299026,-0.15227596,0.7184519,0.06684993,1.1471707,7.43243,2.4554691,0.13289551,-3.353343,-2.1425383,-2.0061777,1.4138622,2.4264088,1.7469093,0.1487453,-0.39050093,0.08510097,-4.4580665,1.3459696,-1.6348337,-0.091689,-0.42666444,5.493217,1.4813297,-4.697564,1.058104,-0.21966153,-1.706447,-4.6922655,2.8316865,-0.77233297,-0.16157074,0.42921123,-0.7932743,-0.3338605,1.3366103,-1.0855653,-0.25592873,0.67394793,-0.32429552,2.3826854,3.3287008,-2.9959726,-0.41835776,-0.26114753,-0.7688904,0.19387409,4.20512,-2.173279,-2.283388,-3.591997,-1.1467361,-0.8262101,-4.1806154,-3.5329762,7.567956,-2.7520092,4.3587666,-0.4113333,2.9915867,-1.2953101,-1.4279542,-1.0180625,-0.57897156,0.6857064
102,Milotic,TWM,50,Stage 1 Pokémon,,None/Missing,Feebas,120.0,{W},{L},,1.0,[Ability] Mentally Calm,,0.0,Your opponent’s Pokémon in play and all attached cards can’t be put into your opponent’s hand.,6,3,13,4,-0.87794244,0.5027887,0.06603651,0.6874737,-0.47541824,0.1521256,0.50256777,-0.20559393,-3.5131998,-0.23467813,-1.3460097,-1.2192029,0.2822049,-1.060132,2.7668014,1.0852017,5.793081,1.4401283,-3.0344698,-1.0948492,2.4443777,-1.6949192,0.18263891,0.5938631,-0.12558973,-1.7845495,-0.31545818,0.2743027,-0.24640135,-1.3554722,1.64906,0.26290223,3.1173332,0.28074515,-3.7619455,9.659418,0.76019335,3.553273,3.9832213,0.7911878,1.2497936,-0.7864088,-1.1749177,2.663848,0.5105702,6.298157,-2.8167915,-0.16338956,-4.2891784,1.1536415,6.523772,0.3463006,-1.3529509,2.8367026,1.5443251,-2.6071818,-1.4655964,-1.4506516,1.8002832,3.3972664,4.3857203,-0.31391224,0.22934206,1.0530074,1.4498862,0.5834655,-1.2240306,-0.27116156,3.526476,2.684028,-1.2067816,-0.6194906,-1.242779,-2.0471284,1.5744042,1.4666114,0.7879794,0.034565568,2.0096612,0.6764692,-0.76242,0.42329633,0.54042166,-0.07117478,-2.2363164,2.1810613,1.5972292,-3.9006886,-1.137842,0.38963938,-1.3245006,-5.210099,2.647222,-0.0950555,-1.0766585,0.84293675,-4.698641,-0.01312069,-1.7449499,-1.2126826,-0.6689954,0.060722332,0.46271998,4.3781805,0.7895865,-1.8155088,0.646373,-2.5976095,-1.0972847,1.0914644,7.3899374,-1.1190085,0.2692299,-2.4781594,-0.41284472,0.112445556,0.7002918,-2.1710124,2.9819095,-6.2739954,4.69308,-0.3452734,1.812707,0.8300822,-1.5418341,-2.3912156,0.7658044,-1.8689609
42,Applin,TWM,126,Basic Pokémon,,None/Missing,,40.0,竜,None/Missing,,1.0,Rolling Tackle,{G}{R},30.0,,1,3,14,0,0.24272905,1.6807475,-2.2838683,3.5617628,0.9122251,2.9850683,0.69622225,0.66506624,-7.1180797,1.1038246,5.308988,-0.9874732,-1.3710037,1.2437052,3.262436,2.0497994,3.1261256,2.9416885,-1.8951268,-0.24488953,1.4591833,-0.18557516,1.4732703,1.008789,4.0316796,-2.3768451,-3.2570174,0.65132624,-1.0793755,-2.0820525,-3.7578244,3.6968827,2.5965471,1.780812,1.2195324,10.19114,2.618053,1.4917912,2.6509798,2.1897798,-1.7514207,-0.3478941,4.7751184,3.4729013,1.3842965,-2.9214103,2.5440352,4.7851095,1.8748772,2.4129438,1.7408015,-1.2158988,-3.6112766,2.1135108,2.0944428,0.8668193,2.1236808,0.26387152,-0.31247196,2.8101313,0.8340596,1.8389212,-0.7938089,-1.2377882,-1.8133551,0.8300281,-1.919472,1.5076823,2.2533257,-1.1893615,-0.18601707,-4.615921,-5.937627,-0.98436385,-0.15744363,1.0067216,0.28477034,-2.7011602,-3.0534494,-3.2463415,-3.9420786,1.9567133,-2.0867655,-1.0589035,1.7148345,1.8033354,-0.30016956,-5.187338,5.64797,0.92812246,0.6393122,-4.6864877,5.236383,2.3697803,-2.785926,-3.9659665,-2.3247306,0.7653747,2.0090985,-1.1772275,1.316937,-0.4627869,-2.7743056,-5.7579007,1.7033548,-8.74926,-2.2018077,-0.19377369,-0.4298086,-0.6452461,5.519507,-3.271105,-0.67542124,0.5120691,-7.8836784,-1.6851133,-0.22309047,-4.6484213,5.986856,-3.6430583,4.316765,0.9429258,-1.5857675,-2.8691723,-0.9473201,-2.3114936,2.3714764,-3.789198
652,Mega Venusaur ex,MEG,3,Stage 2 Pokémon,Mega Pokémon ex,None/Missing,Ivysaur,380.0,{G},{R},,4.0,[Ability] Solar Transfer,,0.0,"As often as you like during your turn, you may use this Ability. Move a Basic {G} Energy from 1 of your Pokémon to another of your Pokémon.",7,3,7,7,-2.9058847,-2.1137373,-2.103484,-5.9399147,-0.3809811,4.8651376,0.07404013,1.0872478,-0.37970692,-2.388972,-2.495521,-2.5454364,6.4968824,1.7760179,3.2114735,2.4005873,6.055853,4.405365,-2.788922,1.5786508,1.3925552,-1.1206492,-3.181848,2.4288456,0.60315025,-5.3811626,-0.60763097,0.67155373,-1.9197838,-0.41877636,-2.9901319,0.18760268,4.6600027,0.22314344,-11.343402,10.177658,-1.1374909,0.021102095,5.678594,0.07478209,3.0873835,-5.4135957,-1.4504367,2.6019971,1.4639871,9.760656,-9.211628,0.38584635,-4.809926,4.7351975,9.0925865,-3.782363,-1.3396571,4.037876,3.278207,1.3901415,-3.349217,-2.8967066,-0.21571393,2.8930988,3.2771943,0.7383531,3.270707,3.4545977,4.4541035,2.8598316,-1.3372886,-3.2214723,19.050426,2.7550583,-2.1259208,-5.7434616,-0.2611722,-6.0873575,0.100083865,2.8954222,3.962362,-0.76095784,4.5918303,5.5316086,-11.466493,1.5957509,-4.2610064,0.14890361,-3.2831156,3.7910886,1.149163,-5.857741,-3.1547782,-1.5195423,-0.58939844,-6.506506,3.3095198,-0.5547802,-1.6669465,-0.7740928,2.1410995,-1.2962741,0.7157707,-0.8910533,-4.8069596,-0.4788621,0.28183603,-0.59193474,0.4615629,-0.74637306,-0.44966486,-1.7251083,-2.703368,-2.425466,4.7081356,-0.9818867,-3.9495919,-2.1627643,-1.4306062,-0.95175785,-0.6967802,-5.951285,3.1678627,-3.3072498,6.9351025,-0.7300215,1.945012,-2.3163006,-2.3927083,-3.2260997,1.5720333,-2.235996
162,Slowpoke,SCR,57,Basic Pokémon,,None/Missing,,80.0,{P},{D},{F},2.0,Tackle,{P}●,30.0,,1,3,10,1,-1.378644,3.6049316,-0.85350037,3.8078568,0.34799623,-5.6762424,0.844156,-0.7145795,-5.377494,1.1510679,2.2037396,0.66186893,0.52894825,-0.059193064,4.883196,-0.37736654,3.8861272,3.9638655,-1.7200108,-1.9110678,0.81111735,-2.8455784,1.9436759,0.6510017,1.3626536,-1.078863,-0.445245,1.209582,1.1296365,0.6484311,-1.72133,-1.5999253,2.2916238,2.146793,-4.29533,12.133867,2.0914114,5.3329062,4.3090706,0.25170374,-1.1769462,-2.4603534,3.6307542,3.4080327,-1.4688427,8.607647,2.7643337,0.5528351,-1.4020863,-0.27261534,3.4846475,-4.9251833,-3.3620915,0.571051,0.92118204,0.6002134,1.8749796,-0.4967761,0.513891,2.1007898,1.1972528,1.2693295,0.0608038,0.009560654,-1.4679083,3.791705,-1.0107323,1.4214797,4.9647965,0.79264283,0.66858476,-3.7928984,-1.2110952,-6.348212,0.15150005,3.5722513,1.3357769,-0.9086698,-3.5531473,1.056093,-6.9802885,0.37479126,0.72017086,0.7615582,0.2492666,3.5340083,1.6924881,-6.4167314,0.012738644,0.5374913,-0.72482115,-2.156449,2.5384169,3.9563036,-0.075211845,0.49884817,-2.095245,0.027953705,-1.0190305,-2.3131607,3.5447,-1.3659668,1.6112977,0.60105866,1.576438,-7.8910728,0.71620125,-2.605401,-0.95919156,1.4736106,10.095903,-0.68577456,-2.385345,-1.731704,-2.2664993,1.0565832,-3.9156325,-2.8893058,5.028676,-5.3187857,3.438569,0.501996,0.8289623,-0.68471444,-1.8904716,-0.34397677,-0.07231061,1.5140598
1160,Heavy Baton,TEF,151,Pokémon Tool,,None/Missing,,0.0,None/Missing,None/Missing,,,,,0.0,"If the Pokémon this card is attached to has a Retreat Cost of exactly 4, is in the Active Spot, and is Knocked Out by damage from an attack from your opponent’s Pokémon, move up to 3 Basic Energy cards from that Pokémon to your Benched Pokémon in any way you like.",3,3,0,0,-11.069909,-9.253439,0.5433258,-10.6873665,2.1946547,-3.1443863,4.568218,-2.9382653,6.661788,-10.686825,-3.3331833,-0.33823678,3.0124543,3.9480884,-2.2608435,-2.0900981,-7.0186486,-4.3917866,11.124169,-0.32113484,-9.419627,-16.819382,-9.060841,11.546257,-12.051487,1.6524894,-5.5451403,5.318323,6.4564185,1.2253469,-0.32866183,-6.18334,14.451369,1.5642841,8.061345,-12.593906,4.822755,-5.0888677,-12.257947,-7.6832333,-5.205402,4.5342736,2.4366279,-3.360527,-11.507855,-9.1420355,-4.281057,-17.062756,6.857741,-9.479456,-4.90197,7.86325,9.174962,-1.9415588,-0.17685589,-3.9483583,-6.701796,0.74758303,-5.1727805,-15.016097,-12.614648,-0.52299726,21.554157,11.37777,4.0598907,1.1984849,1.2883165,3.7217407,-15.63922,1.9992311,-3.6465654,13.023278,-1.1522479,10.915465,-2.2183254,0.9398428,5.8296995,1.7142841,0.2504852,9.609413,9.175913,3.3213303,-6.754356,3.9178586,4.5490713,-11.92774,0.8866976,19.887964,0.48492533,1.3332268,0.3411173,-0.31310946,-2.4963665,-3.768061,6.315604,-6.496953,2.118355,-7.2172246,-10.191963,-12.874543,-4.4098444,7.9519324,1.6762395,-0.3299639,7.7977796,1.7739348,-9.581304,-10.340436,-6.2121763,-5.173803,-8.8045225,3.977957,1.1814451,13.54219,-6.2511044,0.36973265,4.8324065,-8.293165,-4.6075735,-1.6011014,1.3111405,-18.92124,0.6746172,3.1530185,-4.560996,-7.4923654,8.663878,5.247768
455,Team Rocket's Nidoking ex,DRI,119,Stage 2 Pokémon,Pokémon ex,Trainer's Pokémon（Team Rocket）,Team Rocket's Nidorino,330.0,{D},{F},,3.0,Kingly Impact,{D}{D}{D}●,240.0,,7,25,5,2,-1.6973004,-0.7844738,-2.9579487,-0.97703516,0.9134738,-5.574209,4.686736,0.4466407,-4.1948504,1.8973764,4.5826945,-2.0905592,4.336456,-0.72385734,8.172075,-0.65026045,2.3452585,-2.8400733,-5.2194366,0.5989766,-1.1422337,-1.4746544,-0.6518132,-2.3980067,4.7916555,3.1491058,-0.2518923,1.2326277,0.5259518,-0.49128556,-3.9169216,-2.5806472,3.279099,1.1802765,-9.598318,17.2718,-0.7573374,3.4879887,4.997669,1.802857,3.1863005,-4.24004,-3.9507246,5.444225,2.782243,7.3529997,-7.4428415,2.9800363,-4.0420103,4.2830825,14.35023,-9.001989,-5.5843935,2.7460082,3.243514,2.744892,-0.49662292,-2.2225459,0.8994418,1.3820122,5.769291,-1.4311476,1.8272302,1.7802563,-1.5811574,2.7850857,0.76417446,-0.19761346,18.379915,4.201724,-0.9136848,-6.1565833,-0.17435656,-5.9291005,1.0335569,3.445049,2.6874053,1.6024598,0.06597259,2.667332,-10.31573,-0.5536804,-2.8623357,-0.40585405,0.5463974,6.0092053,1.6546489,-9.199146,2.2130861,-2.2613916,-2.6940887,-5.763067,3.397392,-4.562891,1.2608095,0.34984952,2.3879204,-0.79911333,2.7922978,-0.9804571,-1.3228674,0.87942463,1.4349244,2.7384791,0.46264663,-3.460492,-1.4861448,0.07609603,-3.6647773,-0.863984,4.253966,-3.2626507,-4.1542935,-3.492149,-2.774081,-1.6185845,-9.978995,-5.098762,10.700983,0.10392044,5.542548,1.0403571,2.9998364,-3.6608868,-3.4010208,-1.283176,-1.3136125,-0.76714957
1248,Academy at Night,SFA,54,Stadium,,None/Missing,,0.0,None/Missing,None/Missing,,,,,0.0,"Once during each player’s turn, that player may put a card from their hand on top of their deck.",5,3,0,0,-11.328199,-17.151485,-0.6734402,-9.947892,2.283178,6.9119678,-1.768616,-4.2436094,8.3218355,-6.852485,-6.688661,1.0602967,-5.782533,0.51656324,-1.7069392,-5.1486106,-4.9870768,9.9801855,10.4371805,-3.215766,-1.6339704,-13.497601,-6.6742635,-14.220828,14.35308,-8.059381,-3.5926127,9.679732,-19.79672,3.782799,-1.2345821,-6.4761667,17.176655,13.526636,8.643468,-12.129,2.7998066,-3.9180932,-15.463807,-3.3641255,-2.7817988,0.20145886,-5.7490463,-10.616967,5.794081,-7.9014344,-11.56268,-9.204161,18.550177,4.4862843,-4.4133677,10.22258,13.192591,10.514061,2.4380932,-1.9004483,-9.113097,2.796794,-1.409765,19.116718,-20.815283,0.58558714,19.420351,8.8587675,-7.0487013,-4.76986,-2.6600323,-1.8950288,-9.056582,-3.5847456,-4.5092444,19.13368,-10.333745,10.811977,1.4238291,-4.2722816,6.3542075,5.227597,0.9234944,15.466021,5.356263,1.928086,-4.074571,-9.1191025,6.7054625,-0.13980335,-3.444903,20.35025,-9.488826,4.8237195,-12.078685,-0.271473,-6.487749,-3.5176373,-0.7395927,-11.712617,-10.855338,-6.802606,-18.93447,-8.264377,-8.90167,2.684054,-2.0115306,-14.882908,7.460191,5.787415,-17.267939,-6.321423,1.7290248,-2.3785696,-2.5540948,4.6829906,7.198896,9.408263,-5.039212,-2.0422063,3.4115527,-4.077196,-4.9514604,-3.8928175,4.283154,-15.670016,-2.6021729,1.2774228,-4.6616592,-12.14467,14.939375,0.8178201
