Card ID,Card Name,Expansion,Collection No.,Stage (Pokémon)/Type (Energy and Trainer),Rule,Category,Previous stage,HP,Type,Weakness,Resistance (Type),Retreat,Move Name,Cost,Damage,Effect Explanation,Stage (Pokémon)/Type (Energy and Trainer)_encoded,Category_encoded,Type_encoded,Weakness_encoded,strat_vector_0,strat_vector_1,strat_vector_2,strat_vector_3,strat_vector_4,strat_vector_5,strat_vector_6,strat_vector_7,strat_vector_8,strat_vector_9,strat_vector_10,strat_vector_11,strat_vector_12,strat_vector_13,strat_vector_14,strat_vector_15,strat_vector_16,strat_vector_17,strat_vector_18,strat_vector_19,strat_vector_20,strat_vector_21,strat_vector_22,strat_vector_23,strat_vector_24,strat_vector_25,strat_vector_26,strat_vector_27,strat_vector_28,strat_vector_29,strat_vector_30,strat_vector_31,strat_vector_32,strat_vector_33,strat_vector_34,strat_vector_35,strat_vector_36,strat_vector_37,strat_vector_38,strat_vector_39,strat_vector_40,strat_vector_41,strat_vector_42,strat_vector_43,strat_vector_44,strat_vector_45,strat_vector_46,strat_vector_47,strat_vector_48,strat_vector_49,strat_vector_50,strat_vector_51,strat_vector_52,strat_vector_53,strat_vector_54,strat_vector_55,strat_vector_56,strat_vector_57,strat_vector_58,strat_vector_59,strat_vector_60,strat_vector_61,strat_vector_62,strat_vector_63,strat_vector_64,strat_vector_65,strat_vector_66,strat_vector_67,strat_vector_68,strat_vector_69,strat_vector_70,strat_vector_71,strat_vector_72,strat_vector_73,strat_vector_74,strat_vector_75,strat_vector_76,strat_vector_77,strat_vector_78,strat_vector_79,strat_vector_80,strat_vector_81,strat_vector_82,strat_vector_83,strat_vector_84,strat_vector_85,strat_vector_86,strat_vector_87,strat_vector_88,strat_vector_89,strat_vector_90,strat_vector_91,strat_vector_92,strat_vector_93,strat_vector_94,strat_vector_95,strat_vector_96,strat_vector_97,strat_vector_98,strat_vector_99,strat_vector_100,strat_vector_101,strat_vector_102,strat_vector_103,strat_vector_104,strat_vector_105,strat_vector_106,strat_vector_107,strat_vector_108,strat_vector_109,strat_vector_110,strat_vector_111,strat_vector_112,strat_vector_113,strat_vector_114,strat_vector_115,strat_vector_116,strat_vector_117,strat_vector_118,strat_vector_119,strat_vector_120,strat_vector_121,strat_vector_122,strat_vector_123,strat_vector_124,strat_vector_125,strat_vector_126,strat_vector_127
1,Basic {G} Energy,SVE,1,Basic Energy,,None/Missing,,0.0,{G},None/Missing,,,,,0.0,,0,3,7,0,-4.1073475,11.90626,-10.549,5.5343895,12.974934,3.9648588,6.4865103,12.956176,-16.57463,-1.5131885,-6.213615,-2.8707018,1.3316662,3.6956546,0.37394616,9.215258,8.920575,-19.497726,-14.404817,5.7797594,-3.4059134,-3.0714355,2.807532,28.742878,-36.09342,-0.91012865,-3.546912,1.7760576,24.32083,-7.5017653,-16.593908,-6.0930166,3.0343916,-9.322951,6.5816855,47.08368,-3.0255535,6.0565467,-3.2678058,-13.61903,-7.3099146,-6.0543237,10.3952675,19.56837,-11.692362,3.2343054,39.25913,-21.551561,-10.262538,-2.7071197,15.837715,15.012826,-5.421477,-29.701754,11.193256,-22.454788,14.741346,0.22712708,2.2610974,-21.873644,12.359449,-1.9157324,3.9046443,8.721366,13.537159,46.863453,-9.512869,7.950066,11.278543,-3.4220288,-8.236082,3.2601643,-2.930133,4.1252556,-3.872684,18.854958,7.848104,-10.070855,-24.533466,-6.4989967,-8.268775,-7.8012567,52.419727,6.1866055,-12.3168125,-14.293549,0.8861769,-5.5232315,19.951277,-9.198666,-11.912939,3.360812,36.392677,-25.919035,1.2829342,0.05944624,-8.077571,-5.63278,-0.48743847,-23.004343,14.2572565,10.476682,6.589134,30.550064,-9.020451,-21.814209,2.2608564,-14.255171,-23.253979,46.46315,26.83687,-11.428783,-44.965427,-7.0816536,-9.995165,-10.666277,20.844755,-1.1562791,14.79705,-25.883577,6.5673933,1.0842066,13.799128,-6.156723,-4.5810814,-14.999367,4.775469,1.0769014
2,Basic {R} Energy,SVE,2,Basic Energy,,None/Missing,,0.0,{R},None/Missing,,,,,0.0,,0,3,11,0,-4.1073475,11.90626,-10.549,5.5343895,12.974934,3.9648588,6.4865103,12.956176,-16.57463,-1.5131885,-6.213615,-2.8707018,1.3316662,3.6956546,0.37394616,9.215258,8.920575,-19.497726,-14.404817,5.7797594,-3.4059134,-3.0714355,2.807532,28.742878,-36.09342,-0.91012865,-3.546912,1.7760576,24.32083,-7.5017653,-16.593908,-6.0930166,3.0343916,-9.322951,6.5816855,47.08368,-3.0255535,6.0565467,-3.2678058,-13.61903,-7.3099146,-6.0543237,10.3952675,19.56837,-11.692362,3.2343054,39.25913,-21.551561,-10.262538,-2.7071197,15.837715,15.012826,-5.421477,-29.701754,11.193256,-22.454788,14.741346,0.22712708,2.2610974,-21.873644,12.359449,-1.9157324,3.9046443,8.721366,13.537159,46.863453,-9.512869,7.950066,11.278543,-3.4220288,-8.236082,3.2601643,-2.930133,4.1252556,-3.872684,18.854958,7.848104,-10.070855,-24.533466,-6.4989967,-8.268775,-7.8012567,52.419727,6.1866055,-12.3168125,-14.293549,0.8861769,-5.5232315,19.951277,-9.198666,-11.912939,3.360812,36.392677,-25.919035,1.2829342,0.05944624,-8.077571,-5.63278,-0.48743847,-23.004343,14.2572565,10.476682,6.589134,30.550064,-9.020451,-21.814209,2.2608564,-14.255171,-23.253979,46.46315,26.83687,-11.428783,-44.965427,-7.0816536,-9.995165,-10.666277,20.844755,-1.1562791,14.79705,-25.883577,6.5673933,1.0842066,13.799128,-6.156723,-4.5810814,-14.999367,4.775469,1.0769014
3,Basic {W} Energy,SVE,3,Basic Energy,,None/Missing,,0.0,{W},None/Missing,,,,,0.0,,0,3,13,0,-4.1073475,11.90626,-10.549,5.5343895,12.974934,3.9648588,6.4865103,12.956176,-16.57463,-1.5131885,-6.213615,-2.8707018,1.3316662,3.6956546,0.37394616,9.215258,8.920575,-19.497726,-14.404817,5.7797594,-3.4059134,-3.0714355,2.807532,28.742878,-36.09342,-0.91012865,-3.546912,1.7760576,24.32083,-7.5017653,-16.593908,-6.0930166,3.0343916,-9.322951,6.5816855,47.08368,-3.0255535,6.0565467,-3.2678058,-13.61903,-7.3099146,-6.0543237,10.3952675,19.56837,-11.692362,3.2343054,39.25913,-21.551561,-10.262538,-2.7071197,15.837715,15.012826,-5.421477,-29.701754,11.193256,-22.454788,14.741346,0.22712708,2.2610974,-21.873644,12.359449,-1.9157324,3.9046443,8.721366,13.537159,46.863453,-9.512869,7.950066,11.278543,-3.4220288,-8.236082,3.2601643,-2.930133,4.1252556,-3.872684,18.854958,7.848104,-10.070855,-24.533466,-6.4989967,-8.268775,-7.8012567,52.419727,6.1866055,-12.3168125,-14.293549,0.8861769,-5.5232315,19.951277,-9.198666,-11.912939,3.360812,36.392677,-25.919035,1.2829342,0.05944624,-8.077571,-5.63278,-0.48743847,-23.004343,14.2572565,10.476682,6.589134,30.550064,-9.020451,-21.814209,2.2608564,-14.255171,-23.253979,46.46315,26.83687,-11.428783,-44.965427,-7.0816536,-9.995165,-10.666277,20.844755,-1.1562791,14.79705,-25.883577,6.5673933,1.0842066,13.799128,-6.156723,-4.5810814,-14.999367,4.775469,1.0769014
4,Basic {L} Energy,SVE,4,Basic Energy,,None/Missing,,0.0,{L},None/Missing,,,,,0.0,,0,3,8,0,-4.1073475,11.90626,-10.549,5.5343895,12.974934,3.9648588,6.4865103,12.956176,-16.57463,-1.5131885,-6.213615,-2.8707018,1.3316662,3.6956546,0.37394616,9.215258,8.920575,-19.497726,-14.404817,5.7797594,-3.4059134,-3.0714355,2.807532,28.742878,-36.09342,-0.91012865,-3.546912,1.7760576,24.32083,-7.5017653,-16.593908,-6.0930166,3.0343916,-9.322951,6.5816855,47.08368,-3.0255535,6.0565467,-3.2678058,-13.61903,-7.3099146,-6.0543237,10.3952675,19.56837,-11.692362,3.2343054,39.25913,-21.551561,-10.262538,-2.7071197,15.837715,15.012826,-5.421477,-29.701754,11.193256,-22.454788,14.741346,0.22712708,2.2610974,-21.873644,12.359449,-1.9157324,3.9046443,8.721366,13.537159,46.863453,-9.512869,7.950066,11.278543,-3.4220288,-8.236082,3.2601643,-2.930133,4.1252556,-3.872684,18.854958,7.848104,-10.070855,-24.533466,-6.4989967,-8.268775,-7.8012567,52.419727,6.1866055,-12.3168125,-14.293549,0.8861769,-5.5232315,19.951277,-9.198666,-11.912939,3.360812,36.392677,-25.919035,1.2829342,0.05944624,-8.077571,-5.63278,-0.48743847,-23.004343,14.2572565,10.476682,6.589134,30.550064,-9.020451,-21.814209,2.2608564,-14.255171,-23.253979,46.46315,26.83687,-11.428783,-44.965427,-7.0816536,-9.995165,-10.666277,20.844755,-1.1562791,14.79705,-25.883577,6.5673933,1.0842066,13.799128,-6.156723,-4.5810814,-14.999367,4.775469,1.0769014
5,Basic {P} Energy,SVE,5,Basic Energy,,None/Missing,,0.0,{P},None/Missing,,,,,0.0,,0,3,10,0,-4.1073475,11.90626,-10.549,5.5343895,12.974934,3.9648588,6.4865103,12.956176,-16.57463,-1.5131885,-6.213615,-2.8707018,1.3316662,3.6956546,0.37394616,9.215258,8.920575,-19.497726,-14.404817,5.7797594,-3.4059134,-3.0714355,2.807532,28.742878,-36.09342,-0.91012865,-3.546912,1.7760576,24.32083,-7.5017653,-16.593908,-6.0930166,3.0343916,-9.322951,6.5816855,47.08368,-3.0255535,6.0565467,-3.2678058,-13.61903,-7.3099146,-6.0543237,10.3952675,19.56837,-11.692362,3.2343054,39.25913,-21.551561,-10.262538,-2.7071197,15.837715,15.012826,-5.421477,-29.701754,11.193256,-22.454788,14.741346,0.22712708,2.2610974,-21.873644,12.359449,-1.9157324,3.9046443,8.721366,13.537159,46.863453,-9.512869,7.950066,11.278543,-3.4220288,-8.236082,3.2601643,-2.930133,4.1252556,-3.872684,18.854958,7.848104,-10.070855,-24.533466,-6.4989967,-8.268775,-7.8012567,52.419727,6.1866055,-12.3168125,-14.293549,0.8861769,-5.5232315,19.951277,-9.198666,-11.912939,3.360812,36.392677,-25.919035,1.2829342,0.05944624,-8.077571,-5.63278,-0.48743847,-23.004343,14.2572565,10.476682,6.589134,30.550064,-9.020451,-21.814209,2.2608564,-14.255171,-23.253979,46.46315,26.83687,-11.428783,-44.965427,-7.0816536,-9.995165,-10.666277,20.844755,-1.1562791,14.79705,-25.883577,6.5673933,1.0842066,13.799128,-6.156723,-4.5810814,-14.999367,4.775469,1.0769014
6,Basic {F} Energy,SVE,6,Basic Energy,,None/Missing,,0.0,{F},None/Missing,,,,,0.0,,0,3,6,0,-4.1073475,11.90626,-10.549,5.5343895,12.974934,3.9648588,6.4865103,12.956176,-16.57463,-1.5131885,-6.213615,-2.8707018,1.3316662,3.6956546,0.37394616,9.215258,8.920575,-19.497726,-14.404817,5.7797594,-3.4059134,-3.0714355,2.807532,28.742878,-36.09342,-0.91012865,-3.546912,1.7760576,24.32083,-7.5017653,-16.593908,-6.0930166,3.0343916,-9.322951,6.5816855,47.08368,-3.0255535,6.0565467,-3.2678058,-13.61903,-7.3099146,-6.0543237,10.3952675,19.56837,-11.692362,3.2343054,39.25913,-21.551561,-10.262538,-2.7071197,15.837715,15.012826,-5.421477,-29.701754,11.193256,-22.454788,14.741346,0.22712708,2.2610974,-21.873644,12.359449,-1.9157324,3.9046443,8.721366,13.537159,46.863453,-9.512869,7.950066,11.278543,-3.4220288,-8.236082,3.2601643,-2.930133,4.1252556,-3.872684,18.854958,7.848104,-10.070855,-24.533466,-6.4989967,-8.268775,-7.8012567,52.419727,6.1866055,-12.3168125,-14.293549,0.8861769,-5.5232315,19.951277,-9.198666,-11.912939,3.360812,36.392677,-25.919035,1.2829342,0.05944624,-8.077571,-5.63278,-0.48743847,-23.004343,14.2572565,10.476682,6.589134,30.550064,-9.020451,-21.814209,2.2608564,-14.255171,-23.253979,46.46315,26.83687,-11.428783,-44.965427,-7.0816536,-9.995165,-10.666277,20.844755,-1.1562791,14.79705,-25.883577,6.5673933,1.0842066,13.799128,-6.156723,-4.5810814,-14.999367,4.775469,1.0769014
7,Basic {D} Energy,SVE,7,Basic Energy,,None/Missing,,0.0,{D},None/Missing,,,,,0.0,,0,3,5,0,-4.1073475,11.90626,-10.549,5.5343895,12.974934,3.9648588,6.4865103,12.956176,-16.57463,-1.5131885,-6.213615,-2.8707018,1.3316662,3.6956546,0.37394616,9.215258,8.920575,-19.497726,-14.404817,5.7797594,-3.4059134,-3.0714355,2.807532,28.742878,-36.09342,-0.91012865,-3.546912,1.7760576,24.32083,-7.5017653,-16.593908,-6.0930166,3.0343916,-9.322951,6.5816855,47.08368,-3.0255535,6.0565467,-3.2678058,-13.61903,-7.3099146,-6.0543237,10.3952675,19.56837,-11.692362,3.2343054,39.25913,-21.551561,-10.262538,-2.7071197,15.837715,15.012826,-5.421477,-29.701754,11.193256,-22.454788,14.741346,0.22712708,2.2610974,-21.873644,12.359449,-1.9157324,3.9046443,8.721366,13.537159,46.863453,-9.512869,7.950066,11.278543,-3.4220288,-8.236082,3.2601643,-2.930133,4.1252556,-3.872684,18.854958,7.848104,-10.070855,-24.533466,-6.4989967,-8.268775,-7.8012567,52.419727,6.1866055,-12.3168125,-14.293549,0.8861769,-5.5232315,19.951277,-9.198666,-11.912939,3.360812,36.392677,-25.919035,1.2829342,0.05944624,-8.077571,-5.63278,-0.48743847,-23.004343,14.2572565,10.476682,6.589134,30.550064,-9.020451,-21.814209,2.2608564,-14.255171,-23.253979,46.46315,26.83687,-11.428783,-44.965427,-7.0816536,-9.995165,-10.666277,20.844755,-1.1562791,14.79705,-25.883577,6.5673933,1.0842066,13.799128,-6.156723,-4.5810814,-14.999367,4.775469,1.0769014
8,Basic {M} Energy,SVE,8,Basic Energy,,None/Missing,,0.0,{M},None/Missing,,,,,0.0,,0,3,9,0,-4.1073475,11.90626,-10.549,5.5343895,12.974934,3.9648588,6.4865103,12.956176,-16.57463,-1.5131885,-6.213615,-2.8707018,1.3316662,3.6956546,0.37394616,9.215258,8.920575,-19.497726,-14.404817,5.7797594,-3.4059134,-3.0714355,2.807532,28.742878,-36.09342,-0.91012865,-3.546912,1.7760576,24.32083,-7.5017653,-16.593908,-6.0930166,3.0343916,-9.322951,6.5816855,47.08368,-3.0255535,6.0565467,-3.2678058,-13.61903,-7.3099146,-6.0543237,10.3952675,19.56837,-11.692362,3.2343054,39.25913,-21.551561,-10.262538,-2.7071197,15.837715,15.012826,-5.421477,-29.701754,11.193256,-22.454788,14.741346,0.22712708,2.2610974,-21.873644,12.359449,-1.9157324,3.9046443,8.721366,13.537159,46.863453,-9.512869,7.950066,11.278543,-3.4220288,-8.236082,3.2601643,-2.930133,4.1252556,-3.872684,18.854958,7.848104,-10.070855,-24.533466,-6.4989967,-8.268775,-7.8012567,52.419727,6.1866055,-12.3168125,-14.293549,0.8861769,-5.5232315,19.951277,-9.198666,-11.912939,3.360812,36.392677,-25.919035,1.2829342,0.05944624,-8.077571,-5.63278,-0.48743847,-23.004343,14.2572565,10.476682,6.589134,30.550064,-9.020451,-21.814209,2.2608564,-14.255171,-23.253979,46.46315,26.83687,-11.428783,-44.965427,-7.0816536,-9.995165,-10.666277,20.844755,-1.1562791,14.79705,-25.883577,6.5673933,1.0842066,13.799128,-6.156723,-4.5810814,-14.999367,4.775469,1.0769014
9,Boomerang Energy,TWM,166,Special Energy,,None/Missing,,0.0,{C},None/Missing,,,,,0.0,"As long as this card is attached to a Pokémon, it provides {C} Energy.

If this card is discarded by an effect of an attack used by the Pokémon this card is attached to, attach this card from your discard pile to that Pokémon after attacking.",4,3,3,0,-10.641499,-14.024774,0.32580805,-8.830312,3.0669909,1.5977823,1.5944101,-3.602848,8.853143,-7.943331,-6.0163007,-1.2296063,-1.2657771,2.0652668,-0.56279373,-3.2014942,0.015298379,3.5061154,10.421253,-2.1585531,-5.248775,-16.091068,-8.2168045,-4.300481,2.5221317,-3.3947768,-4.4966335,7.6028404,-8.03715,2.9945314,1.1555463,-5.964934,17.006994,8.557792,3.4547956,-17.898973,3.8515131,-2.7600377,-9.853283,-5.92848,-4.518018,2.2715158,-3.0267797,-7.4167457,-2.2578273,-1.3710219,-11.575201,-13.950959,11.724221,-1.3546247,1.2880594,15.023954,5.087723,7.346299,1.1135324,-7.435927,-9.294294,1.733201,-2.602625,5.7027893,-17.531506,-0.367283,18.847523,8.924623,-0.7927483,-7.973694,-0.31212568,1.3332375,-12.824809,-2.1868637,-3.6522377,16.357964,-6.152761,4.399329,-0.05859258,-2.764369,6.80406,3.5788205,3.8078203,13.918044,9.959335,2.9389977,-10.503953,-3.9435244,6.9030843,-6.445963,-1.6460687,11.945686,-6.1853757,2.0633233,-5.036987,-4.3975534,-8.317835,3.8903246,2.6643496,-8.98503,-6.3691974,-7.444294,-14.054816,-10.056254,-9.621774,4.33865,-0.6633069,-9.527539,8.5243,8.428162,-10.88966,-8.504098,-0.46449962,-7.6147513,-3.2514637,3.6675813,6.7059712,11.621755,-4.849904,1.9427668,0.61957616,-6.5566587,-12.4922905,-5.1947603,3.7159843,-17.811323,3.778016,2.5060842,-4.8225503,-7.6326303,8.968988,6.9177737
10,Neo Upper Energy,TEF,162,Special Energy,ACE SPEC,None/Missing,,0.0,{A}{A},None/Missing,,,,,0.0,"As long as this card is attached to a Pokémon, it provides {C} Energy.

If this card is attached to a Stage 2 Pokémon, this card provides every type of Energy but provides only 2 Energy at a time.",4,3,2,0,-10.641499,-14.024774,0.32580805,-8.830312,3.0669909,1.5977823,1.5944101,-3.602848,8.853143,-7.943331,-6.0163007,-1.2296063,-1.2657771,2.0652668,-0.56279373,-3.2014942,0.015298379,3.5061154,10.421253,-2.1585531,-5.248775,-16.091068,-8.2168045,-4.300481,2.5221317,-3.3947768,-4.4966335,7.6028404,-8.03715,2.9945314,1.1555463,-5.964934,17.006994,8.557792,3.4547956,-17.898973,3.8515131,-2.7600377,-9.853283,-5.92848,-4.518018,2.2715158,-3.0267797,-7.4167457,-2.2578273,-1.3710219,-11.575201,-13.950959,11.724221,-1.3546247,1.2880594,15.023954,5.087723,7.346299,1.1135324,-7.435927,-9.294294,1.733201,-2.602625,5.7027893,-17.531506,-0.367283,18.847523,8.924623,-0.7927483,-7.973694,-0.31212568,1.3332375,-12.824809,-2.1868637,-3.6522377,16.357964,-6.152761,4.399329,-0.05859258,-2.764369,6.80406,3.5788205,3.8078203,13.918044,9.959335,2.9389977,-10.503953,-3.9435244,6.9030843,-6.445963,-1.6460687,11.945686,-6.1853757,2.0633233,-5.036987,-4.3975534,-8.317835,3.8903246,2.6643496,-8.98503,-6.3691974,-7.444294,-14.054816,-10.056254,-9.621774,4.33865,-0.6633069,-9.527539,8.5243,8.428162,-10.88966,-8.504098,-0.46449962,-7.6147513,-3.2514637,3.6675813,6.7059712,11.621755,-4.849904,1.9427668,0.61957616,-6.5566587,-12.4922905,-5.1947603,3.7159843,-17.811323,3.778016,2.5060842,-4.8225503,-7.6326303,8.968988,6.9177737
